feature_name,tier,source,train_availability,test_availability,available_after_prediction_start,target_derived,safe_for_inference,decision,leakage_risk,used_by,notes
gate_pf_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Particle-filter mean confidence at the boundary.
gate_pf_spread,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Particle-filter mean branch spread.
gate_pf_fallback,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Fraction of prediction rows where the particle filter used its geometry fallback (GR outage).
gate_beam_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Beam-search mean confidence at the boundary.
gate_beam_spread,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Beam-search mean branch spread.
gate_beam_fallback,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Fraction of prediction rows where beam search used its geometry fallback (GR outage).
gate_track_disagreement,derived,"derived from GR, Typewell GR, Typewell TVT, MD, X, Y, Z, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Mean |PF track - Beam track| over the early prediction rows; GR-scan separation when only one family is available.
gate_cand_pf,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,"One-hot indicator: the PF candidate (identity flag, not a measurement)."
gate_cand_beam,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,"One-hot indicator: the Beam candidate (identity flag, not a measurement)."
gate_cand_mean,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,"One-hot indicator: the PF/Beam-mean candidate (identity flag, not a measurement)."
nbr_n,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)",Number of offset wells contributing to the estimate at this row.
nbr_dist_min,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)",Distance (ft) to the nearest contributing offset-well sample.
nbr_tvt_wmean,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)",Inverse-distance-weighted mean TVT of the k nearest offset-well samples in the X/Y plane. The structural prior: what TVT other wells recorded at this map position.
nbr_tvt_std,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)","Spread of neighbour TVT values: disagreement between offset wells, i.e. local structural complexity."
nbr_shift,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)","nbr_tvt_wmean - tvt_last: the structural move the offset wells imply, expressed in the same anchored residual space the models predict in."
nbr_grad_along,spatial,"offset wells (X, Y of the target well; TVT of NEIGHBOUR wells)",yes (computed per fold),yes (neighbours drawn from the train split),yes,"yes, but only from OTHER wells' labels — never the well being predicted","yes, only when built fold-safely",USE,high if built globally — must be rebuilt inside every fold from fold-train wells only; the guard in src/spatial.py enforces this,"ridge, lightgbm (spatial variant)",Component of the locally fitted neighbour TVT plane along the current trajectory heading — a directly estimated apparent dip.
